A,B,C,D,E
0.3,23.1,2.12,18.3,4.4
0.1,3.2,1.6,13.1,3.68
0.5,27.5,1.04,14.3,1.84
5.3,16.9,2.32,15.4,1.54
0.3,13.9,2.78,17.9,2.3
5.3,35.6,1.98,10.4,2.94
9.2,20.0,1.32,14.5,2.18
6.2,2.2,2.18,17.5,3.54
1.7,22.3,2.46,14.4,3.6
8.9,36.7,2.3,12.0,3.56
4.3,26.9,2.74,17.7,4.16
3.3,34.6,2.48,20.0,2.1
7.3,15.2,1.46,12.1,2.66
6.1,33.2,2.96,12.9,4.46
9.9,8.4,2.72,12.2,1.62
1.3,10.8,1.62,10.4,2.6
9.4,3.0,2.72,16.2,1.34
4.7,22.8,2.94,19.2,4.9
1.4,23.9,1.36,15.8,1.68
7.1,37.7,2.3,19.3,3.06
7.7,36.2,2.18,18.1,2.98
8.6,30.9,2.3,15.1,1.44
6.1,38.8,1.28,16.4,3.8
3.9,14.0,2.68,13.8,3.82
8.4,15.5,1.68,18.0,4.28
7.9,29.8,2.36,10.2,1.08
8.1,34.4,1.52,14.1,3.98
5.2,37.0,2.74,17.0,1.54
2.3,9.8,1.12,12.6,3.62
2.5,4.6,1.1,12.7,1.98
8.8,32.6,1.64,15.3,3.02
5.9,6.6,2.14,19.4,1.56
4.0,6.1,1.96,11.4,1.72
2.8,10.8,1.32,15.2,4.24
1.4,16.6,1.82,17.1,3.94
4.4,3.6,2.86,16.9,4.24
6.4,11.8,2.42,19.1,3.58
8.8,8.5,1.78,10.3,3.3
7.0,38.1,1.9,19.3,2.14
0.8,39.1,2.4,11.6,3.9
8.7,5.1,2.38,13.3,3.1
0.0,9.0,2.34,10.5,2.1
0.7,28.8,1.0,13.5,3.42
8.7,33.6,2.56,19.8,4.82
6.2,29.7,2.88,13.8,3.04
1.0,20.3,2.76,17.9,3.44
8.0,36.7,2.92,16.5,4.58
0.7,23.7,2.02,10.7,1.42
3.4,38.1,1.68,11.4,2.18
3.4,15.4,2.36,16.2,3.74
3.2,23.9,1.08,19.0,2.66
0.4,13.5,2.98,17.9,3.54
4.0,36.1,1.32,16.4,2.58
2.7,38.0,2.04,15.8,3.66
0.6,36.8,2.02,10.9,2.6
7.2,6.3,1.26,10.6,1.1
7.1,12.2,1.56,17.3,2.7
1.1,25.3,1.14,17.5,2.62
3.3,11.3,2.94,18.0,4.1
3.2,1.9,1.0,11.1,1.82
4.7,1.5,1.56,17.8,2.46
2.2,14.4,1.7,14.5,1.8
6.1,20.7,2.0,13.1,2.24
8.7,1.8,1.72,13.1,1.42
3.6,37.5,2.84,18.9,2.56
9.8,39.1,2.36,17.7,4.12
4.3,16.5,2.04,18.9,2.4
8.5,3.7,2.9,16.0,3.26
9.0,18.0,2.02,16.8,1.66
3.4,34.8,2.74,16.0,2.9
6.4,10.4,2.64,20.1,3.58
9.8,9.9,1.22,14.5,4.06
10.0,8.9,2.02,16.7,3.16
4.6,29.9,1.0,19.1,2.48
7.7,33.1,1.12,15.4,1.36
0.2,40.0,1.32,10.0,3.48
0.0,7.8,2.94,17.6,1.38
0.4,7.2,1.84,16.6,4.2
8.9,17.5,2.4,14.8,3.3
1.3,39.5,1.32,12.4,2.86
2.6,9.5,2.16,11.5,2.62
0.8,34.4,1.04,18.4,2.9
7.8,10.2,1.56,11.2,3.06
1.4,22.3,1.42,15.1,1.06
8.9,0.5,1.74,13.5,4.18
4.1,12.1,2.06,17.1,3.92
7.6,23.5,2.84,14.3,3.6
5.0,11.5,1.98,18.2,2.82
6.2,16.2,2.36,14.6,2.2
9.5,22.5,1.58,17.9,1.74
5.1,22.9,1.44,17.5,3.34
9.5,18.1,2.68,11.9,3.66
0.3,24.8,2.78,11.7,2.1
9.3,31.7,1.92,15.3,4.34
10.0,20.9,1.4,11.1,3.4
2.2,14.3,1.38,12.4,2.6
1.4,39.1,1.44,15.9,3.1
4.2,34.4,2.34,17.4,3.38
2.8,9.5,1.4,18.5,2.36
3.5,38.1,1.4,13.3,2.64
1.2,34.5,1.0,11.2,1.82
3.1,24.3,1.28,13.7,2.96
7.0,8.5,1.32,11.1,3.58
5.8,39.3,2.0,13.5,1.54
8.5,18.3,2.24,12.7,3.32
2.7,12.0,1.26,19.0,3.88
6.5,33.1,2.16,13.8,2.38
4.1,9.1,2.64,17.6,3.12
4.4,6.9,1.98,14.2,3.44
6.1,13.2,1.66,19.0,2.36
5.6,27.8,1.1,13.0,1.76
0.5,13.6,1.96,10.1,3.68
2.7,31.3,1.1,18.1,4.18
2.7,18.6,2.36,18.9,1.06
4.3,22.0,1.12,14.1,3.96
8.3,4.5,2.92,13.0,4.18
2.9,27.7,2.52,16.0,2.62
6.1,19.1,2.0,20.1,2.92
7.4,0.7,1.0,15.5,3.82
9.1,37.8,1.24,18.5,2.38
8.8,27.5,1.84,19.9,1.9
6.1,17.8,1.52,18.2,3.94
9.6,33.3,2.4,11.3,4.7
0.0,3.8,1.04,11.3,2.96
2.6,29.2,2.14,12.8,2.58
6.1,17.7,2.76,18.0,1.94
7.6,16.1,2.92,14.9,1.12
0.2,33.0,1.32,14.9,1.78
6.9,37.3,1.88,16.2,2.16
7.1,10.3,2.54,20.0,1.7
2.6,16.0,3.0,17.2,4.42
0.8,28.6,2.14,16.4,3.14
6.1,12.2,2.1,16.7,1.6
3.6,5.3,2.06,17.0,4.38
9.6,3.3,2.72,11.0,1.86
5.0,24.1,2.74,11.3,4.4
4.3,37.7,1.56,18.2,1.84
2.3,11.2,2.06,10.2,4.48
7.8,31.7,1.52,10.7,3.66
5.8,2.2,1.88,19.2,2.84
3.1,4.5,2.72,20.0,4.86
9.5,31.1,1.6,14.2,2.7
8.7,13.4,1.7,10.8,1.16
5.1,11.7,2.6,11.8,1.2
6.1,18.8,2.2,11.1,2.58
5.7,13.0,1.72,12.6,3.16
5.1,21.1,2.32,20.0,3.34
1.1,11.2,1.7,15.7,1.34
3.8,4.3,1.08,12.4,4.04
0.1,12.7,1.9,14.4,2.92
0.2,36.3,2.56,20.1,4.7
10.0,15.7,2.02,14.7,1.58
5.5,27.2,1.96,14.9,3.28
8.0,31.4,1.1,18.0,1.0
5.8,39.3,1.18,14.3,4.8
0.1,35.4,2.9,15.8,2.92
0.1,33.9,1.44,13.2,3.24
9.1,4.4,1.32,17.7,2.56
5.3,10.7,2.66,12.7,1.56
8.6,21.8,1.86,11.7,2.3
10.0,31.7,1.8,15.4,4.6
9.5,31.4,1.28,13.2,3.08
9.6,17.6,1.86,11.4,1.36
0.0,22.7,2.14,16.0,2.3
1.8,19.0,2.7,11.0,3.22
0.1,15.9,1.98,13.5,4.58
5.2,39.3,2.02,11.4,4.16
4.3,26.6,2.38,15.2,2.18
8.9,35.7,2.34,16.1,3.32
3.1,32.5,2.24,14.7,2.34
6.9,37.8,2.14,19.3,2.84
3.1,18.9,1.44,11.4,4.14
6.7,17.4,1.86,16.2,3.8
5.4,28.9,2.64,18.6,3.84
7.4,35.6,2.88,14.2,3.94
5.5,14.4,1.86,14.9,4.22
1.6,23.1,2.02,15.9,3.94
3.7,35.9,2.32,15.8,1.98
2.3,20.3,1.54,11.4,2.76
6.8,21.2,2.32,12.8,4.08
9.7,3.9,2.54,17.4,4.14
6.9,27.4,1.34,18.1,4.66
8.5,32.2,1.52,13.9,4.84
1.0,8.1,2.0,13.0,2.96
1.5,18.0,2.18,17.2,4.64
9.6,31.9,2.46,18.5,3.24
7.2,8.2,1.96,11.0,3.12
5.8,30.2,1.28,18.0,1.46
6.9,26.1,2.64,19.6,1.48
7.9,27.1,2.44,16.1,4.6
9.2,19.9,2.34,17.4,1.2
0.2,23.9,1.28,10.7,2.86
1.9,17.9,2.0,15.0,2.18
5.8,17.0,1.94,15.6,4.48
3.5,29.4,2.42,10.3,4.04
1.8,17.6,1.0,13.5,1.48
8.9,36.8,1.12,11.8,3.88
6.6,39.5,2.04,12.3,3.78
1.8,23.6,1.6,14.0,3.44
1.9,13.7,1.34,14.8,4.58
9.5,32.6,1.22,18.1,1.2
7.0,36.5,1.94,19.6,1.18
5.1,31.0,1.58,14.5,2.6
3.2,12.8,2.92,13.5,4.74
3.9,4.8,1.12,10.9,2.06
3.8,16.3,2.82,17.7,3.16
8.1,27.6,1.04,10.6,2.24
0.0,29.2,2.24,11.1,1.38
1.0,11.5,1.1,18.5,1.08
9.1,2.3,2.88,19.0,1.8
5.6,31.0,1.28,14.7,3.34
8.8,2.4,2.4,13.6,2.24
4.9,39.0,1.84,17.4,4.66
2.2,12.6,2.86,13.5,1.62
3.0,23.3,2.8,15.9,1.52
9.3,20.8,2.6,17.6,2.34
4.1,9.2,1.34,19.5,3.08
9.8,9.3,1.42,10.7,4.5
0.6,32.6,2.2,10.6,1.12
1.5,22.4,2.2,14.2,4.46
8.9,37.7,2.04,15.7,3.04
5.9,27.9,1.5,18.0,3.22
0.1,1.0,2.8,18.5,3.9
0.0,32.8,1.78,14.5,4.3
4.7,1.1,2.74,13.3,3.04
1.1,3.4,1.14,18.3,4.84
6.8,22.7,1.4,17.1,1.32
3.6,21.9,2.84,12.1,2.78
3.1,14.0,1.84,19.0,3.28
0.8,2.2,1.4,19.7,2.7
9.8,8.2,1.04,12.0,3.04
1.8,22.8,1.6,11.4,2.62
4.7,34.3,1.52,10.4,3.5
7.9,7.9,1.52,20.1,1.74
0.2,35.2,2.44,11.6,2.82
1.9,39.5,2.12,17.1,2.24
2.3,28.9,2.92,11.8,4.38
5.3,33.0,1.64,10.4,3.7
3.2,15.8,2.78,12.2,1.58
2.3,12.7,2.82,18.2,2.26
7.4,18.9,1.86,11.3,1.16
7.1,39.6,1.84,10.9,2.12
3.5,3.0,1.6,13.0,3.12
3.7,38.5,2.28,11.2,4.72
8.3,35.8,2.66,12.1,2.88
9.8,1.4,2.5,13.6,4.88
8.8,31.2,1.32,13.8,2.48
9.8,7.4,1.28,10.9,1.08
2.4,3.3,1.66,13.0,2.88
9.2,35.8,2.58,14.2,1.06
1.7,19.5,1.06,19.8,1.14
8.1,33.0,2.42,17.6,4.38
6.5,2.8,2.94,19.3,4.24
5.3,19.3,2.76,19.7,3.8
3.4,1.5,2.56,13.5,3.64
7.9,7.6,1.54,13.4,1.78
6.0,29.2,2.44,16.7,1.36
4.0,8.0,1.02,15.4,2.62
9.9,12.3,1.32,16.7,3.48
3.2,1.8,2.14,14.6,1.06
6.7,10.1,2.46,10.5,3.54
3.2,39.1,1.16,12.7,4.72
1.3,7.6,1.6,12.9,3.9
2.0,22.8,2.3,12.6,4.02
4.7,29.6,2.74,16.8,3.12
1.9,20.2,2.22,13.8,2.84
0.7,6.0,1.36,13.4,1.6
0.6,2.5,2.6,14.3,2.14
6.6,7.0,2.46,11.4,1.54
1.6,10.2,2.08,18.2,3.72
3.2,32.5,1.54,19.3,4.44
4.7,36.2,2.82,20.1,2.78
7.5,15.6,1.98,13.1,1.96
5.8,36.2,2.28,12.8,3.2
8.5,35.8,1.04,16.2,1.02
2.1,19.3,2.56,10.5,1.1
2.9,27.4,2.02,18.9,1.56
3.7,32.3,1.18,12.6,4.06
5.0,18.5,1.4,19.8,4.1
5.3,32.5,1.72,12.7,1.12
0.7,11.2,1.28,10.4,1.66
2.6,31.2,2.72,14.0,4.66
2.6,16.4,2.54,15.5,3.74
9.7,6.0,2.56,15.3,3.22
2.0,9.1,2.46,17.9,2.12
2.9,28.5,1.16,11.7,4.48
9.6,15.2,1.86,17.6,1.52
2.7,22.4,1.76,14.2,1.76
6.3,12.6,1.08,18.8,3.98
9.6,19.2,1.48,17.3,3.36
6.8,11.4,2.1,12.8,3.92
6.0,26.1,2.78,10.9,2.98
4.7,1.7,2.26,10.5,1.16
1.8,0.9,2.42,17.9,3.92
0.3,9.1,2.7,18.8,1.02
3.4,13.8,2.02,10.3,2.82
6.3,33.2,2.76,20.0,4.76
4.8,35.6,2.5,13.3,2.16
1.6,33.9,1.16,18.2,4.94
4.3,5.1,1.18,13.2,2.4
9.1,19.4,1.18,10.3,2.38
2.9,20.5,2.44,14.3,4.2
9.2,28.6,2.22,19.7,4.84
4.5,40.0,2.78,17.5,1.48
0.5,36.5,2.96,13.0,2.38
9.8,9.2,2.8,17.9,4.1
3.6,30.8,2.18,16.5,3.9
2.3,14.4,2.88,15.7,2.24
9.2,8.5,1.36,15.9,1.96
4.5,15.2,1.74,10.1,3.44
5.2,0.1,1.1,13.5,3.46
9.4,34.1,1.28,16.9,4.86
9.8,38.8,2.84,15.9,1.78
5.9,25.9,1.92,12.2,2.68
9.6,16.3,1.88,14.6,2.72
6.2,0.5,1.08,20.0,4.86
8.4,14.8,2.54,14.5,2.58
3.1,20.4,2.04,17.9,1.06
8.6,11.7,2.3,14.3,1.66
3.2,8.8,2.22,11.8,1.08
6.6,15.3,1.44,14.8,3.98
1.7,16.6,1.86,18.7,3.94
2.4,16.0,2.02,15.7,3.04
9.4,26.9,1.9,19.0,4.48
5.3,5.5,1.36,10.6,1.66
5.7,22.7,2.74,19.3,4.42
6.6,33.6,2.66,14.0,1.1
4.5,14.8,1.92,17.7,4.66
2.3,4.5,2.8,11.4,1.56
3.1,14.3,2.02,17.5,2.04
4.6,23.7,1.46,15.2,1.0
8.5,27.1,1.32,19.2,2.16
2.2,11.9,2.76,12.2,4.5
6.5,33.9,1.9,17.6,1.12
2.6,21.9,2.26,17.2,4.18
0.1,0.7,2.88,18.7,2.54
8.9,34.3,1.54,19.3,4.76
1.6,38.6,1.98,16.4,4.68
3.2,27.4,2.26,15.9,2.0
0.8,35.2,1.54,10.9,3.92
4.2,6.5,2.7,20.1,1.52
4.7,7.8,2.1,15.7,2.24
3.8,8.5,2.16,14.6,4.74
9.2,12.3,1.08,11.4,2.2
4.1,20.1,2.06,10.8,2.2
2.5,14.9,1.86,11.2,3.5
9.8,4.5,1.82,12.2,1.88
4.9,11.2,2.42,13.2,3.96
2.4,9.0,2.82,10.8,4.42
2.3,14.0,2.12,10.2,3.56
1.2,28.8,1.92,19.3,2.88
5.9,38.8,2.5,17.2,2.8
0.6,21.7,1.48,12.4,1.86
5.6,7.6,1.86,18.7,2.22
3.5,37.6,1.28,19.5,2.2
4.4,38.3,2.0,17.0,2.56
1.9,33.3,2.04,13.5,2.76
6.4,15.1,1.66,18.8,3.22
0.7,32.2,2.52,11.9,3.2
1.5,23.8,1.14,18.0,1.98
1.3,11.4,2.52,15.3,1.8
7.5,31.8,2.98,19.9,1.64
8.6,36.8,2.38,18.9,1.22
1.4,9.3,2.9,11.8,1.02
9.1,4.7,1.4,15.9,3.12
9.7,19.0,1.12,13.6,3.96
6.5,1.1,2.78,10.2,3.82
3.1,15.5,2.56,19.1,1.66
8.6,17.1,2.1,18.5,2.68
6.2,40.0,1.96,11.8,4.82
8.5,29.5,1.82,15.2,4.0
5.0,17.6,1.44,14.5,2.68
2.4,34.0,2.02,17.9,1.98
5.7,5.6,2.56,15.5,3.82
6.2,34.2,2.04,16.9,3.1
6.1,33.9,1.3,20.0,1.9
2.1,20.2,2.9,13.0,3.34
5.7,18.4,1.72,15.2,1.08
5.7,12.0,1.34,13.3,2.3
8.5,22.5,1.38,13.0,3.98
4.8,20.1,1.9,15.9,2.38
5.1,32.9,1.02,11.0,3.14
4.1,36.2,2.72,19.9,1.02
6.9,37.9,2.86,10.5,1.56
1.4,35.5,2.24,12.6,2.2
5.3,21.5,1.04,10.6,2.98
5.9,4.2,1.9,14.8,3.54
10.0,37.4,1.96,19.5,4.96
9.6,2.2,1.0,17.1,3.86
0.7,15.4,1.42,15.9,4.82
5.2,18.5,2.84,13.2,2.92
5.9,24.8,1.26,14.6,2.92
0.4,23.6,2.82,14.3,1.26
6.7,29.2,2.68,17.8,1.84
0.5,13.3,1.88,12.6,4.4
9.5,32.0,2.9,19.3,2.38
9.3,38.9,1.1,12.1,2.08
4.6,2.1,2.28,14.6,1.6
9.8,36.0,1.4,19.2,2.5
5.4,8.7,1.06,14.7,4.34
3.9,15.2,1.04,12.9,4.08
5.1,12.4,1.58,10.1,2.02
1.5,7.8,1.6,11.4,3.54
1.2,34.5,1.66,14.6,1.12
2.9,5.0,2.64,12.6,4.46
1.8,21.5,1.38,17.0,2.98
1.6,17.5,2.72,12.6,4.2
6.2,35.7,2.06,18.4,3.7
1.8,25.2,1.48,11.2,3.64
9.1,24.5,1.28,15.4,2.2
5.7,22.6,1.74,11.6,4.98
5.4,10.5,1.44,17.4,3.06
8.9,19.2,2.02,15.8,4.74
10.0,31.5,2.3,10.9,4.02
8.9,30.1,2.12,13.2,1.12
6.1,3.5,2.12,17.7,4.76
2.2,20.3,2.56,13.6,2.64
0.8,26.6,2.02,10.7,2.88
1.1,26.7,1.68,13.2,4.26
0.0,16.9,2.46,10.6,1.52
5.7,3.8,1.26,13.3,3.46
0.0,13.8,2.8,17.0,4.12
3.3,29.1,1.26,10.6,2.72
9.5,5.1,2.96,14.0,3.94
4.7,28.6,1.64,19.9,2.38
8.8,28.8,2.02,15.4,3.26
0.0,14.0,1.0,10.6,2.5
1.5,14.5,1.66,18.3,3.26
6.0,31.3,1.36,11.7,1.04
6.3,18.3,1.46,14.2,4.32
6.2,15.1,1.06,17.7,2.96
6.8,20.0,1.7,13.9,3.46
2.1,12.7,2.52,15.2,1.88
9.2,28.6,2.14,11.3,3.5
6.6,31.0,1.62,12.0,2.34
7.5,25.2,1.16,15.6,1.6
2.5,26.5,2.58,19.0,3.1
1.5,18.7,2.32,14.5,1.74
5.0,38.5,1.38,12.5,3.66
10.0,22.9,2.46,19.0,1.14
8.5,27.0,2.22,12.3,1.54
5.6,25.8,2.14,10.4,1.28
2.8,29.8,1.42,14.1,1.14
7.7,19.7,2.32,20.1,2.06
9.1,32.2,2.48,19.1,3.66
6.8,5.5,2.76,14.2,1.56
4.6,31.8,1.94,13.1,3.28
9.3,20.2,1.14,18.7,1.66
6.1,27.0,2.44,10.5,1.12
6.8,10.8,1.28,17.3,1.78
7.5,11.5,1.62,16.6,2.46
1.5,9.1,2.04,10.6,3.8
8.9,13.7,2.32,12.8,2.22
8.9,30.2,1.06,13.3,2.7
4.7,5.6,1.58,10.6,3.3
8.4,4.9,1.24,18.0,2.28
3.8,7.0,1.4,17.6,1.8
9.9,39.8,1.8,15.7,3.44
3.2,8.1,1.36,18.4,4.38
9.3,37.1,1.94,13.0,3.3
10.0,10.4,2.7,17.2,2.3
2.2,8.7,2.24,14.4,3.3
0.9,0.1,1.38,14.6,3.76
6.8,35.9,2.26,17.6,3.0
9.9,8.3,1.72,18.0,1.98
3.3,4.2,1.6,17.1,2.4
5.1,15.3,2.46,17.2,4.24
9.4,32.6,1.34,17.2,2.58
0.9,9.3,1.38,13.9,2.56
1.8,29.7,2.62,12.9,1.38
5.7,13.2,1.2,16.1,4.1
9.5,39.4,2.7,17.0,3.44
0.0,6.4,1.86,11.6,1.72
6.8,28.9,2.62,20.1,1.04
0.3,37.5,2.26,10.4,2.84
1.5,25.6,1.66,18.0,4.72
2.3,38.5,2.72,10.0,3.0
7.9,21.2,2.28,17.9,5.0
0.1,14.7,2.08,18.0,4.08
9.1,6.0,2.46,19.3,1.62
3.1,14.8,1.0,13.0,1.94
9.0,8.7,1.74,13.4,1.9
8.3,32.3,1.16,17.1,3.26
2.3,38.2,2.88,12.9,2.88
1.1,39.5,2.4,18.4,1.92
4.9,27.7,1.32,11.4,1.78
3.4,8.1,2.96,19.7,3.6
3.2,12.8,3.0,15.5,3.3
3.2,28.5,2.02,15.9,4.12
6.0,38.1,1.34,12.6,2.8
5.0,35.2,2.24,10.1,2.14
4.2,27.9,1.64,17.3,4.54
10.0,26.9,1.06,16.3,1.18
1.1,29.1,2.72,10.4,2.2
6.6,20.2,2.48,19.0,3.2
6.4,2.3,2.02,16.7,3.4
3.2,35.0,1.16,11.2,2.2
3.9,31.0,2.26,18.0,4.0
7.3,20.7,1.58,18.4,1.1
4.2,27.9,1.14,12.2,2.48
4.3,20.4,1.08,19.6,4.74
2.8,15.1,2.5,14.9,3.28
1.2,2.5,2.24,17.8,4.08
1.1,19.3,1.0,17.7,4.64
9.4,33.5,1.28,17.2,1.6
4.5,23.7,2.76,13.6,3.44
0.1,32.0,2.62,12.9,4.14
3.4,7.4,1.74,19.2,2.32
8.6,16.2,1.82,12.2,1.24
8.0,29.8,1.9,13.3,2.16
8.9,2.8,2.04,16.3,2.06
0.7,16.4,1.5,15.4,3.06
9.2,33.6,2.2,17.0,1.4
2.5,18.5,2.32,10.8,1.84
7.3,5.3,2.06,10.3,1.2
8.9,29.4,1.42,16.5,3.16
3.3,4.1,1.5,19.0,2.32
0.6,28.4,2.64,13.2,4.3
6.7,38.6,2.18,13.1,2.88
5.7,13.7,1.76,14.3,4.02
7.4,18.6,1.7,13.6,3.1
2.8,39.7,1.4,19.0,2.0
3.5,20.3,1.8,19.1,4.76
8.8,4.1,1.94,16.6,1.9
2.0,34.9,1.5,15.9,1.84
3.5,28.7,2.24,15.8,1.52
0.9,2.5,2.52,13.5,2.68
10.0,37.0,1.7,14.8,4.14
7.2,38.4,1.46,15.0,2.86
2.3,5.5,2.78,10.7,3.52
6.3,25.2,1.4,14.9,4.8
9.8,12.1,1.34,14.0,1.18
4.8,10.5,1.28,20.0,3.6
9.8,12.9,2.56,13.7,2.18
3.5,33.6,1.1,18.5,1.52
8.1,15.7,1.84,17.7,3.44
9.5,37.5,1.6,17.8,4.44
2.3,23.0,1.54,15.4,2.22
2.2,30.7,1.14,16.7,4.02
6.1,9.0,1.56,11.7,1.9
9.5,39.2,1.4,16.4,3.5
3.6,2.1,2.6,16.3,4.42
1.1,28.9,2.74,11.1,2.24
5.4,10.9,2.14,14.0,1.06
1.2,4.8,2.18,14.1,1.3
2.2,12.8,1.98,15.9,4.56
8.8,7.2,2.98,14.9,2.46
9.8,33.9,1.6,18.0,3.22
2.9,5.2,1.92,18.2,3.0
1.6,35.5,1.66,13.5,4.5
6.1,37.9,1.02,14.7,4.84
8.3,16.7,2.32,17.0,4.92
8.8,4.4,2.86,17.2,1.88
8.5,39.2,2.42,10.7,3.6
1.2,10.4,2.02,12.4,1.32
5.8,14.9,1.12,10.6,4.28
1.8,14.5,2.5,10.7,1.08
4.8,20.3,1.36,18.7,4.48
9.9,36.1,2.78,18.0,1.86
1.1,29.8,2.82,17.5,4.2
6.0,16.6,1.28,13.0,1.4
1.8,20.0,2.54,11.1,4.88
7.5,13.3,1.94,15.6,2.34
0.8,21.0,1.26,16.5,1.62
7.0,4.7,1.04,11.1,1.46
2.7,12.5,1.98,12.6,4.24
7.7,23.8,2.84,14.5,3.9
9.4,0.6,2.06,10.6,2.32
5.1,27.1,1.1,16.0,3.04
8.2,38.4,1.96,15.7,2.06
1.5,37.0,1.44,15.7,4.06
6.8,3.6,2.82,11.2,4.74
9.8,21.0,2.54,15.2,3.48
1.1,16.4,2.54,19.9,3.32
2.4,12.4,1.38,16.4,2.28
5.1,33.6,2.52,14.8,4.56
8.4,19.1,2.8,13.4,3.26
9.9,21.7,2.18,19.3,4.74
5.2,21.3,2.96,19.4,4.72
2.2,6.1,1.88,11.6,2.5
1.5,32.7,2.2,17.1,1.32
5.6,38.0,2.1,16.6,3.96
3.8,16.0,1.02,10.9,4.88
5.2,6.5,1.88,13.3,3.14
4.1,28.5,1.78,18.5,1.54
5.7,23.8,1.46,10.3,1.86
3.8,1.9,1.56,19.5,4.94
1.3,18.7,2.32,12.8,4.78
9.4,8.1,2.34,14.5,4.38
0.4,36.2,2.3,17.4,2.86
3.4,20.1,2.66,14.5,1.42
8.6,13.1,2.06,17.6,1.74
9.2,3.6,2.04,15.8,1.26
7.4,13.1,2.56,16.0,3.2
1.7,7.6,1.96,16.7,3.42
7.5,8.8,1.62,16.5,4.06
0.8,25.2,2.2,13.3,4.34
7.3,34.3,1.82,18.5,2.06
5.7,19.3,1.0,10.4,3.8
1.6,17.5,2.24,10.8,3.52
0.6,3.2,1.68,11.9,1.36
4.5,5.7,2.0,12.0,1.82
1.2,20.0,2.4,11.6,1.8
3.9,2.7,1.88,11.1,1.98
4.1,3.4,2.52,19.1,3.6
0.8,12.4,2.28,18.1,4.16
4.9,39.3,1.26,16.6,2.5
2.6,32.0,2.84,10.4,3.84
6.5,4.1,1.04,15.9,4.62
0.4,8.4,1.46,15.2,4.6
2.8,39.2,2.28,15.1,4.44
3.6,18.7,1.94,17.7,4.3
3.7,11.0,1.18,14.7,2.96
8.2,27.0,1.24,18.9,1.98
0.7,32.4,2.98,11.8,4.02
6.4,10.4,2.44,11.6,3.88
8.5,31.9,1.26,15.3,3.9
1.6,4.0,2.98,16.7,1.82
7.0,21.4,1.18,13.4,3.88
8.8,7.0,1.78,18.7,1.3
4.4,5.5,1.44,14.0,2.68
0.3,23.5,2.96,11.2,2.02
3.5,28.0,2.08,13.2,1.7
6.9,10.4,2.24,11.4,3.12
3.0,38.9,2.4,16.2,4.32
1.8,37.4,1.82,11.4,2.6
6.0,16.1,2.96,13.0,4.04
